Land;Landskod;Kontinent
Afghanistan;AFG;Asia
Åland Islands;ALA;Europe
Albania;ALB;Europe
Algeria;DZA;Africa
American Samoa;ASM;Oceania
Andorra;AND;Europe
Angola;AGO;Africa
Anguilla;AIA;America
Antarctica;ATA;
Antigua and Barbuda;ATG;America
Argentina;ARG;America
Armenia;ARM;Asia
Aruba;ABW;America
Australia;AUS;Oceania
Austria;AUT;Europe
Azerbaijan;AZE;Asia
Bahamas;BHS;America
Bahrain;BHR;Asia
Bangladesh;BGD;Asia
Barbados;BRB;America
Belarus;BLR;Europe
Belgium;BEL;Europe
Belize;BLZ;America
Benin;BEN;Africa
Bermuda;BMU;America
Bhutan;BTN;Asia
Bolivia (Plurinational State of);BOL;America
Bonaire, Sint Eustatius and Saba;BES;America
Bosnia and Herzegovina;BIH;Europe
Botswana;BWA;Africa
Bouvet Island;BVT;America
Brazil;BRA;America
British Indian Ocean Territory;IOT;Africa
Brunei Darussalam;BRN;Asia
Bulgaria;BGR;Europe
Burkina Faso;BFA;Africa
Burundi;BDI;Africa
Cabo Verde;CPV;Africa
Cambodia;KHM;Asia
Cameroon;CMR;Africa
Canada;CAN;America
Cayman Islands;CYM;America
Central African Republic;CAF;Africa
Chad;TCD;Africa
Chile;CHL;America
China;CHN;Asia
Christmas Island;CXR;Oceania
Cocos (Keeling) Islands;CCK;Oceania
Colombia;COL;America
Comoros;COM;Africa
Congo;COG;Africa
Congo, Democratic Republic of the;COD;Africa
Cook Islands;COK;Oceania
Costa Rica;CRI;America
Côte d'Ivoire;CIV;Africa
Croatia;HRV;Europe
Cuba;CUB;America
Curaçao;CUW;America
Cyprus;CYP;Asia
Czechia;CZE;Europe
Denmark;DNK;Europe
Djibouti;DJI;Africa
Dominica;DMA;America
Dominican Republic;DOM;America
Ecuador;ECU;America
Egypt;EGY;Africa
El Salvador;SLV;America
Equatorial Guinea;GNQ;Africa
Eritrea;ERI;Africa
Estonia;EST;Europe
Eswatini;SWZ;Africa
Ethiopia;ETH;Africa
Falkland Islands (Malvinas);FLK;America
Faroe Islands;FRO;Europe
Fiji;FJI;Oceania
Finland;FIN;Europe
France;FRA;Europe
French Guiana;GUF;America
French Polynesia;PYF;Oceania
French Southern Territories;ATF;Africa
Gabon;GAB;Africa
Gambia;GMB;Africa
Georgia;GEO;Asia
Germany;DEU;Europe
Ghana;GHA;Africa
Gibraltar;GIB;Europe
Greece;GRC;Europe
Greenland;GRL;America
Grenada;GRD;America
Guadeloupe;GLP;America
Guam;GUM;Oceania
Guatemala;GTM;America
Guernsey;GGY;Europe
Guinea;GIN;Africa
Guinea-Bissau;GNB;Africa
Guyana;GUY;America
Haiti;HTI;America
Heard Island and McDonald Islands;HMD;Oceania
Holy See;VAT;Europe
Honduras;HND;America
Hong Kong;HKG;Asia
Hungary;HUN;Europe
Iceland;ISL;Europe
India;IND;Asia
Indonesia;IDN;Asia
Iran (Islamic Republic of);IRN;Asia
Iraq;IRQ;Asia
Ireland;IRL;Europe
Isle of Man;IMN;Europe
Israel;ISR;Asia
Italy;ITA;Europe
Jamaica;JAM;America
Japan;JPN;Asia
Jersey;JEY;Europe
Jordan;JOR;Asia
Kazakhstan;KAZ;Asia
Kenya;KEN;Africa
Kiribati;KIR;Oceania
Korea (Democratic People's Republic of);PRK;Asia
Korea, Republic of;KOR;Asia
Kuwait;KWT;Asia
Kyrgyzstan;KGZ;Asia
Lao People's Democratic Republic;LAO;Asia
Latvia;LVA;Europe
Lebanon;LBN;Asia
Lesotho;LSO;Africa
Liberia;LBR;Africa
Libya;LBY;Africa
Liechtenstein;LIE;Europe
Lithuania;LTU;Europe
Luxembourg;LUX;Europe
Macao;MAC;Asia
Madagascar;MDG;Africa
Malawi;MWI;Africa
Malaysia;MYS;Asia
Maldives;MDV;Asia
Mali;MLI;Africa
Malta;MLT;Europe
Marshall Islands;MHL;Oceania
Martinique;MTQ;America
Mauritania;MRT;Africa
Mauritius;MUS;Africa
Mayotte;MYT;Africa
Mexico;MEX;America
Micronesia (Federated States of);FSM;Oceania
Moldova, Republic of;MDA;Europe
Monaco;MCO;Europe
Mongolia;MNG;Asia
Montenegro;MNE;Europe
Montserrat;MSR;America
Morocco;MAR;Africa
Mozambique;MOZ;Africa
Myanmar;MMR;Asia
Namibia;NAM;Africa
Nauru;NRU;Oceania
Nepal;NPL;Asia
Netherlands;NLD;Europe
New Caledonia;NCL;Oceania
New Zealand;NZL;Oceania
Nicaragua;NIC;America
Niger;NER;Africa
Nigeria;NGA;Africa
Niue;NIU;Oceania
Norfolk Island;NFK;Oceania
North Macedonia;MKD;Europe
Northern Mariana Islands;MNP;Oceania
Norway;NOR;Europe
Oman;OMN;Asia
Pakistan;PAK;Asia
Palau;PLW;Oceania
Palestine, State of;PSE;Asia
Panama;PAN;America
Papua New Guinea;PNG;Oceania
Paraguay;PRY;America
Peru;PER;America
Philippines;PHL;Asia
Pitcairn;PCN;Oceania
Poland;POL;Europe
Portugal;PRT;Europe
Puerto Rico;PRI;America
Qatar;QAT;Asia
Réunion;REU;Africa
Romania;ROU;Europe
Russian Federation;RUS;Europe
Rwanda;RWA;Africa
Saint Barthélemy;BLM;America
Saint Helena, Ascension and Tristan da Cunha;SHN;Africa
Saint Kitts and Nevis;KNA;America
Saint Lucia;LCA;America
Saint Martin (French part);MAF;America
Saint Pierre and Miquelon;SPM;America
Saint Vincent and the Grenadines;VCT;America
Samoa;WSM;Oceania
San Marino;SMR;Europe
Sao Tome and Principe;STP;Africa
Saudi Arabia;SAU;Asia
Senegal;SEN;Africa
Serbia;SRB;Europe
Seychelles;SYC;Africa
Sierra Leone;SLE;Africa
Singapore;SGP;Asia
Sint Maarten (Dutch part);SXM;America
Slovakia;SVK;Europe
Slovenia;SVN;Europe
Solomon Islands;SLB;Oceania
Somalia;SOM;Africa
South Africa;ZAF;Africa
South Georgia and the South Sandwich Islands;SGS;America
South Sudan;SSD;Africa
Spain;ESP;Europe
Sri Lanka;LKA;Asia
Sudan;SDN;Africa
Suriname;SUR;America
Svalbard and Jan Mayen;SJM;Europe
Sweden;SWE;Europe
Switzerland;CHE;Europe
Syrian Arab Republic;SYR;Asia
Taiwan, Province of China;TWN;Asia
Tajikistan;TJK;Asia
Tanzania, United Republic of;TZA;Africa
Thailand;THA;Asia
Timor-Leste;TLS;Asia
Togo;TGO;Africa
Tokelau;TKL;Oceania
Tonga;TON;Oceania
Trinidad and Tobago;TTO;America
Tunisia;TUN;Africa
Turkey;TUR;Asia
Turkmenistan;TKM;Asia
Turks and Caicos Islands;TCA;America
Tuvalu;TUV;Oceania
Uganda;UGA;Africa
Ukraine;UKR;Europe
United Arab Emirates;ARE;Asia
United Kingdom of Great Britain and Northern Ireland;GBR;Europe
United States of America;USA;America
United States Minor Outlying Islands;UMI;Oceania
Uruguay;URY;America
Uzbekistan;UZB;Asia
Vanuatu;VUT;Oceania
Venezuela (Bolivarian Republic of);VEN;America
Viet Nam;VNM;Asia
Virgin Islands (British);VGB;America
Virgin Islands (U.S.);VIR;America
Wallis and Futuna;WLF;Oceania
Western Sahara;ESH;Africa
Yemen;YEM;Asia
Zambia;ZMB;Africa
Zimbabwe;ZWE;Africa
